name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;339;0;315;3151;1300;3151;1632;0
header;254;175;254;207;1877;207;1877;175
A;1054;239;1054;269;1081;269;1081;239
A;1471;395;1471;407;1478;407;1478;395
B;1167;605;1167;624;1199;624;1199;605
A;1331;785;1331;804;1345;804;1345;785
B;1059;909;1059;939;1083;939;1083;909
A;830;1203;830;1214;837;1214;837;1203
B;640;1383;640;1395;647;1395;647;1383
A;356;1385;356;1397;363;1397;363;1385
C;1055;1582;1055;1613;1079;1613;1079;1582
A;469;1723;469;1750;491;1750;491;1723
A;1336;2080;1336;2080;1337;2080;1337;2080
B;384;2137;384;2156;399;2156;399;2137
B;370;2545;370;2563;384;2563;384;2545
A;868;2860;868;2881;883;2881;883;2860
