name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;372;0;657;3159;1740;3159;1383;0
header;256;164;256;199;1878;199;1878;164
B;1193;87;1193;95;1202;95;1202;87
A;1056;221;1056;251;1081;251;1081;221
A;851;288;851;300;857;300;857;288
C;1025;319;1025;338;1040;338;1040;319
B;1058;897;1058;928;1082;928;1082;897
A;1214;929;1214;941;1221;941;1221;929
C;1057;1580;1057;1608;1077;1608;1077;1580
B;683;1885;683;1903;697;1903;697;1885
B;1023;2155;1023;2182;1042;2182;1042;2155
D;1060;2257;1060;2285;1082;2285;1082;2257
A;848;2682;848;2692;854;2692;854;2682
B;1130;2885;1130;2915;1150;2915;1150;2885
